Cidade: movimento e atividades,UEL,Milena Kanashiro,,Arquitetura e Urbanismo
Cidades e Rios na História do Brasil,UEG,Gercinair Silvério Gandara,Laurent Olivier Vidal,História
Ciência e Tecnologia de Alimentos,IFTO,Fernando Morais Rodrigues,Kallyana Moraes Carvalho Dominices,Ciência e Tecnologia de Alimentos
Ciências Ambientais e Saúde,UNIVBRASIL,Dora Inés Kozusny-Andreani,Roberto Andreani Junior,Microbiologia
CIÊNCIAS DA SAÚDE E QUALIDADE DE VIDA,UNAERP,Renata Dellalibera-Joviliano,,Medicina
"Cognição, Aprendizagem e Inclusão (GPCAI)",UFRN,Francileide Batista de Almeida Vieira,Ronny Diogenes de Menezes,Psicologia
COMPLEXUS/Am - Centro de Altos Estudos e Pesquisas da Complexidade e da Diversidade da Amazônia,UEA,Eglê Betânia Portela Wanzeler,Marcos André Ferreira Estácio,Educação
"Computability, Approximate Reasoning, Ordered structures and Logics",UFRN,Joao Marcos de Almeida,Benjamín René Callejas Bedregal,Ciência da Computação
Conexões entre Espiritualidade e Saúde,UFCG,Ana Célia Rodrigues Athayde,,Saúde Coletiva
Criançar: Grupo de Estudos sobre Formação Inicial e Continuada de Professoras(es) e Educação Lúdica,UFSM,Waleria Fortes de Oliveira,,Educação
"CRIANES UFRJ - Enfermagem no cuidar de crianças, adolescentes e famílias com necessidades de saúde especiais",UFRJ,Ivone Evangelista Cabral,Juliana Rezende Montenegro Medeiros de Moraes,Enfermagem
CT&I translacional,UFBA,Edith Cristina Laignier Cazedey,Neila de Paula Pereira,Farmácia
"CVE- Ciência, Viticultura e Enologia",IFRS,Leonardo Cury da Silva,Simone Bertazzo Rossato,Ciência e Tecnologia de Alimentos
D'ELAZ - Educação e Lazer,UFJF,Edwaldo Sérgio dos Anjos Júnior,Romilda Aparecida Lopes,Turismo
Da fenomenologia à fenomenologia hermenêutica: o caminho da linguagem,UERJ,Marco Antonio dos Santos Casa Nova,Deborah Moreira Guimarães,Filosofia
"DEMOCRACIA, SOCIEDADE CIVIL e SERVIÇO SOCIAL",UnB,Angela Vieira Neves,Thaís Kristosch Imperatori,Serviço Social
Desenvolvimento da Sustentabilidade no Agreste (DeSA),IFPE,Paulo David Martins Pereira,Anailza Cristina Galdino da Silva,Química
"Desenvolvimento de processos aplicados ao tratamento de ar, água, efluentes e solos",UPF,Luciane Maria Colla,Vandré Barbosa Brião,Engenharia Civil
Desenvolvimento de tecnologias em bioma tropical para produção de carne bovina de qualidade,UFNT,Fabrícia Rocha Chaves Miotto,José Neuman Miranda Neiva,Zootecnia
Desenvolvimento do Conhecimento Tecnológico sobre o Aparelho Locomotor,UFPR,Luiz Antônio Munhoz da Cunha,,Medicina
Desenvolvimento Regional na Construção de Sociedade Sustentável na Amazônia,IFAM,Neidilê Munhoz,Maria Goretti Falcao de Araújo,Educação
"Design e Estratégia aplicados a Estudos sobre Inovação, Interação e Informação",ESPM,Marco Aurelio de Souza Rodrigues,Leonardo Marques de Abreu,Desenho Industrial
"DESIGN, INOVAÇÃO E IMPRESSÃO 3D NA ÁREA DA SAÚDE",UEL,Sônia Maria Fabris Luiz,,Fisioterapia e Terapia Ocupacional
"Detecção, Monitoramento e Manejo de Pragas no Ecossistema Cerrado-Pantanal",UEMS,Luiza Cristiane Fialho Zazycki,,Agronomia
DIA - Data Intelligent Analysis,UFT,Edeilson Milhomem da Silva,Jackson Gomes de Souza,Ciência da Computação
Diagnóstico laboratorial de doenças infecciosas e não infecciosas,CEI,Mariana Felgueira Pavanelli,,Medicina
Diálogos em Turismo e Educação,IFBA,Adriana Melo Santos,Glauria Janaina dos Santos,Turismo
"Diálogos: saúde, educação e sociedade",UFCSPA,Annie Jeanninne Bisso Lacchini,,Enfermagem
Diplomacia de Defesa no Entorno Estratégico Brasileiro,ESG,Danilo Marcondes de Souza Neto,,Defesa
"Direito Constitucional Contemporâneo, Constitucionalismo Econômico Global e Globalização",UEMG,Jamile Gonçalves Calissi,,Direito
"Direito Constitucional, Acesso ao Sistema de Justiça e Desenvolvimento Sustentável",UNIR,Thais Bernardes Maganhini,Layde Lana Borges da Silva,Direito
"Direito, Políticas Públicas e Inovação",UniCEUB,Liziane Paixão,Clara Cardoso Machado Jaborandy,Direito
"DIREITOS DA NATUREZA, RACIONALIDADE AMBIENTAL E EDUCAÇÃO ECOLÓGICA",ESDHC,Mariza Rios,,Direito
"Direitos humanos, processo e democracia",FUIT,Cintia Garabini Lages,Renata Mantovani de Lima,Direito
Doenças Infectocontagiosas do Sertão Paraibano,FSM,Sheylla Nadjane Batista Lacerda,,Saúde Coletiva
Doenças neurodegenerativas e neurogenéticas,UFC,Pedro Braga Neto,Manoel Alves Sobreira Neto,Medicina
DYNAMIS - GRUPO DE ESTUDOS E PESQUISAS EM PSICOLOGIA E EDUCAÇÃO,IFG,Gizele Geralda Parreira,Timoteo Madaleno Vieira,Psicologia
E-TICa: Núcleo de Estudos Filosóficos em Ética e Tecnologia da Informação e Comunicação,UFC,Ralph Leal Heck,Francisca Galiléia Pereira da Silva,Filosofia
Ecologia de aves marinhas e divulgação pública da ciência,UERGS,Erli Schneider Costa,,Ecologia
"Edu3C - Grupo de pesquisa em Educação, Cidades, Ciência e Comunicação",UFABC,Tárcio Minto Fabrício,,Educação
Educação de Jovens e Adultos e educação popular: a pesquisa a serviço da prática educativa,UFPB,Luiz Gonzaga Gonçalves,Quezia Vila Flor Furtado,Educação
Educação Financeira,UESB,Ana Paula Teles de Oliveira,,Matemática
Educação no Cerrado e Cidadania - GPECC,UFG,Denise de Oliveira Alves,José Firmino de Oliveira Neto,Educação
Educação Popular e Políticas Públicas,UFPB,Emília Maria da Trindade Prestes,Adriana Valéria Santos Diniz,Educação
"Educação, Política, Diferença",UFR,Merilin Baldan,,Educação
Embryolab Biotechnology - Biotecnologias Aplicadas à Reprodução,UFSM,Gilson Antônio Pessoa,Carlos Eduardo Porciuncula Leonardi,Medicina Veterinária
"Empresa, Desenvolvimento e Cidadania",UNIMAR,Mariana Ribeiro Santiago,,Direito
Enfermagem e Saúde do Trabalhador,UFRJ,Regina Celia Gollner Zeitoune,Rosângela Marion da Silva,Enfermagem
ENGENHARIA DE SEGURANÇA DE PROCESSOS,UFMT,Loyse Tussolini,,Engenharia de Produção
Ensino de Genética a partir de Metodologias Ativas,UniAcademia,Leticia Stephan Tavares,,Genética
"Ensino, Formação de professores e Práticas Educativas",IF Goiano,Camila Regina do Vale,,Educação
Equações Diferenciais não lineares para modelos físicos e biológicos,UnB,Carlos Alberto Pereira dos Santos,Willian Cintra da Silva,Matemática
"ESTADO, ADMINISTAÇÃO PÚBLICA E DEMOCRACIA",UFPI,Robertonio Santos Pessoa,,Direito
"Estado, Organizações e Desenvolvimento",IFNMG,André Luis Rabelo Cardoso,,Administração
Estratégias da arte em uma era de catástrofes,UFMG,Maria Angelica Melendi de Biasizzo,Adolfo Enrique Cifuentes,Artes
"Estruturas Não Necessariamente Associativas, Suas Representações, Identidades e Relações",USP,Vyacheslav Futorny,Ivan Chestakov,Matemática
Estudos de Evasão no Ensino Superior: Uma abordagem quantitativa,UFSJ,Rejane Corrêa da Rocha,,Probabilidade e Estatística
ESTUDOS E ENSINO DO TEXTO - GEENTE,UECE,Maria Helenice Araújo Costa,,Lingüística
"Estudos em Epidemiologia, Tecnologia e Tratamento de Doenças Respiratórias, Distúrbios do Sono e Ventilação Pulmonar",ESCS,Heloisa Glass,,Medicina
ESTUDOS FAUNÍSTICOS DO ESTADO DA BAHIA,UNEB,Jaqueline dos Santos Cardoso,Kamila Santos Barros,Zoologia
"Estudos sobre a morte, o morrer e o processo de luto",UNAERP,Juliana Vendruscolo,,Saúde Coletiva
"ExBrain - Grupo de Pesquisa Interdisciplinar em Exercício Físico, Saúde e Neurociências",UFSM,Jessié Martins Gutierres,,Educação Física
Feminismos e História das Mulheres,UnB,Neuza de Farias Araújo,Maria Elenita Menezes Nascimento,Turismo
Fisiologia e Biologia do Desenvolvimento,UNILA,Danúbia Frasson Furtado,Carla Vermeulen Carvalho Grade,Biologia Geral
Fitossanidade e Agroecossistemas,UNITINS,Roberta Zani da Silva,Efrain de Santana Souza,Agronomia
"FORDAPP - FORMAÇÃO DOCENTE, DIREITO DE APRENDER E PRÁTICAS PEDAGÓGICAS.",UNIUBE,Gercina Santana Novais,Tiago Zanquêta de Souza,Educação
Friedrich Nietzsche: Contemporaneidade política e estética,UFPA,Ivan Risafi de Pontes,,Filosofia
Garantias constitucionais e interfaces com a jurisdição constitucional para a efetivação dos direitos fundamentais,UNAERP,Olavo Augusto Vianna Alves Ferreira,,Direito
GEBAP Grupo de Estudos Bakhtinianos do Pampa,UNIPAMPA,Moacir Lopes de Camargos,Fabiana Giovani,Educação
"GEDISEX - Grupo de Pesquisas e Práticas em Gênero, Diversidade e Sexualidade",IFBAIANO,Ferdinando Santos de Melo,Cecília Nunes da Silva,Ciência Política
"GeeST - Grupo de Estudos em Gestão do Cuidado, Editoração Científica e Saúde do Trabalhador",UEL,Renata Perfeito Ribeiro,Aline Franco da Rocha,Enfermagem
"GENPOSS - Grupo de Estudos e Pesquisa em Gênero, Política Social e Serviços Sociais",UnB,Marlene Teixeira Rodrigues,Anabelle Carrilho da Costa,Serviço Social
"GEOMEROS - GEOSSISTEMAS, MODELIZAÇÃO GRÁFICA COM RECURSOS ORBITAIS DE SENSORES MULTIESPECTRAIS",UNIFESSPA,Abraão Levi dos Santos Mascarenhas,Maria Rita Vidal,Geografia
"GEPENC - Grupo de Estudos e Pesquisas em Educações, Narrativas, Culturas e Ciências",UTFPR,Cristiane Beatriz Dal Bosco Rezzadori,Alexandre Luiz Polizel,Educação
GEPES Grupo de Estudos e Pesquisas em Educação Especial,UFGD,Morgana de Fátima Agostini Martins,Relma Urel Carbone Carneiro,Educação
GEPPEF Grupo de Estudos e Pesquisas Pedagógicas em Educação Física,UFMA,Raimundo Nonato Assunção Viana,Silvana Martins de Araujo,Educação Física
GESOCIOLIN,UFPA,Raquel Maria da Silva Costa Furtado,Benedita Maria do Socorro Campos de Sousa,Lingüística
Gestão de operações e desempenho organizacional,IFES,Thalmo de Paiva Coelho Junior,,Engenharia de Produção
GETin - Grupo de Estudos e Pesquisa em Tecnologia e Inovação,UEL,Altibano Ortenzi Junior,,Engenharia de Produção
GIEI Grupo Interdisciplinar de Educação e Inclusão,UNIRIO,Diógenes Pinheiro,Ediclea Mascarenhas Fernandes,Educação
GIFel - Grupo de Estudos de Inglês como Língua Franca e Estudos Lingúisticos,UFGD,Marcelo Saparas,,Lingüística
GP-CTS: Grupo de Pesquisa em Educação Científica e Movimento CTS,UESB,Paulo Marcelo Marini Teixeira,Maria de Lourdes Oliveira Porto,Educação
GPEJA-Grupo de Pesquisa sobre Educação de Jovens e Adultos,IFMT,Nadir de Fatima Borges Bittencourt,Silvia Maria dos Santos Stering,Educação
"GPESC - Grupo de Pesquisa Enfermagem, Saúde e Cidadania",UFMT,Aparecida Fátima Camila Reis,Rosa Lúcia Rocha Ribeiro,Enfermagem
GPTS - Grupo de Pesquisa em Trabalho e Sociedade,UFPB,Pâmela Adelino Ramos Albertins,Helen Silva Gonçalves,Administração
Grupo de Análise e Processamento de Sinais em Sistemas Não-Lineares,UFGD,Marcus Vinicius Monteiro Varanis,,Engenharia Mecânica
GRUPO DE DINÂMICA DE FLUIDOS COMPUTACIONAL APLICADA A HIDRODINÂMICA NAVAL,UFPA,Mounsif Said,André Vinícius da Costa Araujo,Engenharia Naval e Oceânica
"Grupo de Educação e Psicologia- estudos e pesquisas em desenvolvimento humano, aprendizagem escolar , inclusão e diversidade/GEPDAD",UFPA,Neide Maria Fernandes Rodrigues de Sousa,César Augusto Martins de Souza,Educação
Grupo de Eletroquímica IQSC/USP,USP,Edson Antonio Ticianelli,Germano Tremiliosi Filho,Química
Grupo de estudios gramaticales y sociohistóricos del español Fontanella de Weinberg,UFBA,Carlos Felipe da Conceição Pinto,,Lingüística
Grupo de Estudo e Pesquisa em Planejamento Urbano e Mobilidade ¿ GEPLAM,UFSC,Arnoldo Debatin Neto,João Carlos Souza,Planejamento Urbano e Regional
"Grupo de Estudo em avaliação, manejo e programas de rastreio em nutrição, reabilitação e mecanismos fisiopatológicos nas doenças respiratórias",UNESP,Suzana Erico Tanni,,Medicina
GRUPO DE ESTUDOS DE CARDIOLOGIA (GECARD),UERR,Perla Alves Martins Lima,,Medicina
Grupo de Estudos e Pesquisa Aplicada em Gestão Pública e Empresarial - GEPAG,UFF,Cristiano Souza Marins,,Administração
Grupo de Estudos e Pesquisa Educação em Ciências e Temas Contemporâneos,UFSC,Karine Raquiel Halmenschlager,,Educação
Grupo de Estudos e Pesquisa em Educação Infantil e Teoria Histórico-Cultural.,UNESP,Eliza Maria Barbosa,Francisco José Carvalho Mazzeu,Educação
Grupo de Estudos e Pesquisa em Engenharia Didática (GEPED),CEFET/MG,Juliane Ferraz Oliveira,Adriana dos Santos Sales,Educação
"Grupo de Estudos e Pesquisa em Linguagem, Inclusão e Ensino - GEPLIE",UFR,Antonio Henrique Coutelo de Moraes,,Lingüística
Grupo de Estudos e Pesquisa em Treinamento de Força na Saúde e Condicionamento Físico (GEPEF),UEMG,Lucas Túlio de Lacerda,Diego de Alcantara Borba,Educação Física
Grupo de Estudos e Pesquisa para desenvolvimento do SGBA - Sistema de Gestão de Bancos de Alimentos,FUMEC,Josiane da Costa Vieira Rezende,,Ciência da Computação
Grupo de Estudos e Pesquisa sobre Ontologia do Pensamento Social - GEPOPS,UFMA,John Kennedy Ferreira,,Sociologia
Grupo de estudos e pesquisa: História sócio cultural e educação -GEPHCE,UFMS,Maria Neusa Gonçalves Gomes de Souza,,História
Grupo de Estudos e Pesquisas das Dinâmicas Agrárias do Cerrado,UFJ,Evandro César Clemente,Raphael Fernando Diniz,Geografia
"Grupo de Estudos e Pesquisas em Educação, Políticas e Currículos pós críticos. GEPEP",UFSB,Eliana Povoas Pereira Estrela Brito,,Educação
Grupo de Estudos e Pesquisas em Tecnologias Digitais e Formação Docente - GEPETEC UNIRIO,UNIRIO,Tarliz Liao,Andréa Thees,Educação
Grupo de Estudos e Pesquisas sobre Educação Profissional e Tecnológica - GEPEPT,IFAL,Jarbas Mauricio Gomes,Adalberon Moreira de Lima Filho,Educação
Grupo de Estudos e Pesquisas sobre Formaço e Atuação Docente em Ciências Naturais,UTFPR,João Amadeus Pereira Alves,Silmara Alessi Guebur Roehrig,Educação
GRUPO DE ESTUDOS E PESQUISAS SOBRE O BRINCAR -GEPBRINC,UNEB,Márcia Tereza Fonseca Almeida,Jocenildes Zacarias Santos,Educação
Grupo de Estudos e Pesquisas sobre Sujeitos que Aprendem e Ensinam Ciências,UFPA,José Moysés Alves,Andrela Garibaldi Loureiro Parente,Educação
Grupo de Estudos e Práticas em Geografia e Ensino - GEPGEO,IFPA,Michele Kely Moraes Santos Souza,,Geografia
Grupo de Estudos Ecológicos Integrados,UTFPR,Igor de Paiva Affonso,Roberto Ferreira Artoni,Ecologia
Grupo de Estudos em Gastronomia da Amazônia - GEGAM,UFPE,Maria de Lourdes de Azevedo Barbosa,Salomão Alencar de Farias,Turismo
"Grupo de estudos em metabolismo, fisiologia e exercício físico (GEMFE)",UEMG,Camila Fernanda Costa e Cunha Moraes Brandão,Julio Sérgio Marchini,Educação Física
"Grupo de estudos em saúde da criança, adulto e mulher - GESCAM",UFS,Ana Dorcas de Melo Inagaki,Ana Cristina Freire Abud,Enfermagem
"Grupo de Estudos sobre Território, Cultura e Política - TECPO",UnB,Gloria Maria Vargas López de Mesa,,Geografia
Grupo de Gestão de Projetos Building Information Modeling - GPBIM,CEFET/MG,Daniela Matschulat Ely,,Engenharia Civil
GRUPO DE INVESTIGAÇÃO E APLICAÇÕES EM QUÍMICA (GIAQ),IFAL,Elisangela Costa Santos,Marina de Magalhães Silva,Química
Grupo de Pesquisa em Alimentos Funcionais,UFMT,Maressa Caldeira Morzelle,,Nutrição
GRUPO DE PESQUISA EM DIREITO ECONÔMICO E CONCORRENCIAL GPEC/IDP,IDP,Flavio José Roman,Eric Hadmann Jasper,Direito
Grupo de Pesquisa em Doenças Otorrinolaringológicas e Plástica da Face,UFMG,Flávio Barbosa Nunes,Letícia Paiva Franco,Medicina
Grupo de Pesquisa em Educação e Diversidade na Amazônia - GEDAM,UFRA,Tatiana do Socorro Corrêa Pacheco,Hilda Rosa Moraes de Freitas Rosário,Educação
"Grupo de Pesquisa em Educação, Politecnia e Sociedade (GPEPS)",IFSP,Ivan Luis dos Santos,Thiago Silva Augusto da Fonseca,Educação
Grupo de Pesquisa em Energia e Meio Ambiente,UNIFESP,Eduardo Dellosso Penteado,Andrea Komesu,Engenharia Química
Grupo de Pesquisa em Engenharia de Produção e Gestão Aplicada em Desenvolvimento Sustentável,UFMS,Sérgio Paiva,,Engenharia de Produção
Grupo de pesquisa em Epidemiologia e Geoprocessamento do Araguaia (EpiGeo- Araguaia),UFMT,Josilene Dália Alves,Leonara Raddai Gunther de Campos,Saúde Coletiva
Grupo de Pesquisa em Esporte e Saúde,UFRGS,Giovani dos Santos Cunha,Gabriela Tomedi Leites,Educação Física
Grupo de Pesquisa em Estomaterapia,FHEMIG,Sandra Lyon,,Enfermagem
GRUPO DE PESQUISA EM INOVAÇÃO E DESENVOLVIMENTO DE PRODUTOS BIOTECNOLÓGICOS REGIONAIS,UEMA,Péricles Mendes Nunes,,Química
Grupo de Pesquisa em Instrumentação e Sistemas Inteligentes,UERJ,Jorge Luís Machado do Amaral,Gil Roberto Vieira Pinheiro,Engenharia Elétrica
"Grupo de Pesquisa em Linguagens, Culturas e Ensino do Ifbaiano LinCultE / Ifbaiano",IFBAIANO,Fernanda da Silva Machado,,Letras
Grupo de Pesquisa em Perinatologia,UFRGS,Maria Luzia Chollopetz da Cunha,Jéssica Teles Schlemmer,Enfermagem
Grupo de Pesquisa em Radiologia - Aplicações Médicas e Industriais (GRAMI),UTP,Alana Caroline França Fagundes,Maria Regina Franke Serratto,Medicina
Grupo de Pesquisa Estudos em Teoria Política (GETePol),UEL,Raquel Kritsch,André Luiz da Silva,Ciência Política
Grupo de Pesquisas em História da Matemática e Saberes Tradicionais - GHMat,IFES,Claudia Alessandra Costa de Araujo Lorenzoni,Lígia Arantes Sad,Educação
"Grupo de saúde, morfofisiologia e biotecnologia reprodutiva",UFERSA,Gerlane Modesto da Silva,,Fisiologia
Grupo ICTIOS - Inteligência Científica para estudos da Ictiofauna e Sistemas Aquáticos em Paisagens no Sul/Sudeste do Pará,UNIFESSPA,Keid Nolan Silva Sousa,,Ecologia
"Grupo Multidisciplinar de Pesquisas e Estudos Decoloniais de Linguagem, Gênero e Raça - DECOLGERA",IFPA,Priscilla Bezerra Barbosa,Ricardo Regis de Almeida,Educação
Grupo de Estudos e Pesquisas em Educação de Jovens e Adultos na Universidade,UNILA,Ana Paula Araújo Fonseca,Suellen Mayara Péres de Oliveira,Educação
História da Ásia - Relações e Interações,UFES,Emiliano Unzer Macedo,,História
"HOTELARIA, GASTRONOMIA E SERVIÇOS TURÍSTICOS",UNIVALI,Sara Joana Gadotti dos Anjos,,Turismo
IDENTIDADES CULTURAIS NAS ESCOLAS DE EDUCAÇÃO BÁSICA: itinerários construtivos,UERGS,Sandra Monteiro Lemos,,Educação
Identidades luso-brasileiras e conexão de mundos: história e representação no mundo lusófono,UFPEL,Larissa Patron Chaves,,História
Identificação de marcadores moleculares em câncer e nas doenças orais,UNIGRANRIO,Cláudia Maria Pereira,,Odontologia
Indicadores Econômicos e Sociais - Gurupi,IFTO,Francisco Viana Cruz,Autenir Carvalho de Rezende,Economia
InfoEduc - Informática na Educação,FURG,Regina Barwaldt,,Ciência da Computação
Informática Aplicada,IFNMG,Joselice Ferreira Lima,Danilo Magalhães Nunes,Ciência da Computação
Inovação e Tecnologias Aplicada à Educação,IFTO,Paula Jucá de Sousa,Sérgio Luis Melo Viroli,Educação
Inspiração - Grupo de pesquisa e fomento à inovação e empreendedorismo no campus Sete Lagoas / UFSJ,UFSJ,Leonardo Lucas Carnevalli Dias,Anderson Oliveira Latini,Agronomia
"Interdisciplinaridade, Capital Natural, Cidades e Desenvolvimento Sustentável no Antropoceno",UCS,Maria Carolina Rosa Gullo,Adir Ubaldo Rech,Direito
Intervenção fonoaudiológica e multidisciplinar nos diferentes ciclos de vida,UFS,Andréa Monteiro Correia Medeiros,Ricardo Queiroz Gurgel,Fonoaudiologia
INTRIG (Information & Networking Technologies Research & Innovation Group),UNICAMP,Christian Rodolfo Esteve Rothenberg,,Engenharia Elétrica
Jurimetria e Pesquisa Empírica em Direito - PROPED,UNIFOR,Mariana Dionísio de Andrade,,Direito
Kûara - Grupo de Estudos e Pesquisas em Educ(ações) e Re-existências,UFR,Eglen Silvia Pipi Rodrigues,Regina Aparecida da Silva,Educação
LABECA - LABORATÓRIO DE ESTUDOS EM CULTURA E ARTE,UNASP,Janaina Silva Xavier,,Artes
Laboratório de Ecologia e Evolução de Interações,UFPR,Sabrina Borges Lino Araujo,Karla Magalhães Campião,Ecologia
Laboratório de Estudos e Pesquisas em Cuidados Intensivos (LACIN),UNIPAMPA,Josefine Busanello,Cristiane Lima de Moraes,Enfermagem
Laboratório de Inovação Tecnológica em Psicologia (LIP),UFCG,Aline Venceslau Vieira de Lima,Roseane Christhina da Nova Sá Serafim,Psicologia
Laboratório de mecanização agrícola do pampa - LAMAP,UNIPAMPA,Vilnei de Oliveira Dias,,Engenharia Agrícola
LegalLab: Núcleo de Gestão de Conflitos e Práticas Jurídicas,UNIARA,Leonel Cezar Rodrigues,,Direito
LEPTTO: Laboratório de Estudos e Práticas em Trabalho e Terapia Ocupacional,UnB,Daniela da Silva Rodrigues,,Fisioterapia e Terapia Ocupacional
LERER - Laboratório de Estudos em Relações Étnico- raciais,UFRJ,Fernanda Barros dos Santos,Vantuil Pereira,Ciência Política
"Limiares: Estudos de Literatura, Gênero e Interculturalidades",UFERSA,Larissa Costa da Mata,Micaela Sá da Silveira,Letras
"Língua, literatura, interfaces",UNICENTRO,Marcia Regina Pawlas Carazzai,Ana Raquel Fialho Ferreira Campos,Letras
Linguagem e Expressão do Design Urbano,UNOESC,Celso Luiz Podlasek,,Desenho Industrial
"Linguagem, Infância, EJA e Tecnologias da Informação e Comunicação- GELITIC",UNEB,Jocenildes Zacarias Santos,Rosemary Rufina dos Santos Perin,Educação
Literatura e Psicanálise - Transculturalidades Integrantes,Unifacvest,Fabio Eduardo Grünewald Soares,,Letras
Matemática Pura e Aplicada nas Engenharias,UFERSA,Antonio Gomes Nunes,Mariana de Brito Maia,Matemática
Materiais e tecnologia não-convencionais aplicadas a eco-construção.,UNIFESSPA,Carlos Maviael de Carvalho,,Engenharia Civil
"Materiais, caracterização, propriedades e processos de fabricação",IFSP,Marcilene Cristina Gomes,Cristina Sayuri Fukugauchi,Engenharia de Materiais e Metalúrgica
Memória e relações de poder,UEG,Edson Arantes Junior,Marcos Vinicius Ribeiro,História
Métodos Numéricos para Equações Diferenciais,USP,Pedro da Silva Peixoto,,Matemática
"Métricas, Indicadores e Estatística Aplicada para Inovação",UEM,Fabrízio Meller da Silva,,Administração
MNanomateriais - Materiais e nanomateriais,UFRB,Jania Betania Alves da Silva,Denilson de Jesus Assis,Engenharia Biomédica
Molecular Nutrition & Food Research,UERJ,Julio Beltrame Daleprane,,Nutrição
Nanociência e Nanotecnologia Aplicada ao Sensoriamento,UFSCAR,Marystela Ferreira,Marli Leite de Moraes,Química
NEDEC- Nucleo de Estudos e Ensino em Desenho Contemporaneo,UFMG,Camila Rodrigues Moreira Cruz,Roberto Bethonico Figueiredo,Artes
"Negócios Públicos e Privados na Amazônia: Direito ao Desenvolvimento, Gestão Pública e Solução de Conflitos",UFPA,Maria Stela Campos da Silva,,Direito
"NEPEEDDI - NÚCLEO DE ESTUDOS, PESQUISA E EXTENSÃO EDUCAÇÃO, DEFICIÊNCIA, DIFERENÇA E INCLUSÃO",UFCG,Dorivaldo Alves Salustiano,,Educação
Neurociencias,UFCG,Alexandre Magno da Nobrega Marinho,Maria das Graças Loureiro das Chagas Campêlo,Medicina
Neuroquímica da Inflamação Sistêmica,USP,Luiz Guilherme de Siqueira Branco,Renato Nery Soriano,Fisiologia
NPCRM - NÚCLEO DE PESQUISA CONSERVAÇÃO E RESTAURO DE MOBILIÁRIO,IFB,Fernanda Freitas Costa de Torres,Frederico Hudson Ferreira,Museologia
Núcleo de Agrometeorologia e Desenvolvimento Rural - NADER,UEMG,Maria Gabriela de Queiroz,,Agronomia
